,LAT,LNG,COMUNA,Tipo_Accid,Causa_CON,Tipo_CONA,Fallecidos,Graves,Menos_Grav,Leves,Hora,Fecha
46,-20.2709329,-70.1063884,ALTO HOSPICIO,COLISION,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,12:50:00,2018-05-23
47,-20.2796676,-70.0951687,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,CAUSAS NO DETERMINADAS,CHOQUE,0,0,0,0,13:30:00,2018-05-23
48,-20.2600254,-70.1254437,IQUIQUE,CHOQUE FRENTE/POSTERIOR,ALCOHOL EN CONDUCTOR,CHOQUE,0,0,0,0,02:00:00,2018-05-28
49,-20.5364084,-70.1805181,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,15:30:00,2018-05-29
50,-20.2155092,-70.1464884,IQUIQUE,CHOQUE FRONTAL,ALCOHOL EN CONDUCTOR,CHOQUE,0,0,0,0,07:18:00,2018-06-10
51,-20.2607342,-70.0941636,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,ALCOHOL EN CONDUCTOR,CHOQUE,0,0,0,0,15:10:00,2018-01-01
52,-20.2862298,-70.0441605,ALTO HOSPICIO,COLISION,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,1,17:30:00,2018-01-05
53,-20.277224,-70.0805248,ALTO HOSPICIO,COLISION,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,1,12:30:00,2018-05-27
54,-20.2672378,-70.1036395,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,17:50:00,2018-05-27
55,-20.2754099,-70.0942196,ALTO HOSPICIO,COLISION,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,09:00:00,2018-05-28
56,-20.2201278,-70.1361812,IQUIQUE,CHOQUE FRENTE/LADO,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,19:20:00,2018-05-30
57,-20.2753585,-70.1039826,ALTO HOSPICIO,CHOQUE POSTERIOR,PERDIDA CONTROL VEHICULO,CHOQUE,0,0,0,1,08:20:00,2018-05-30
58,-20.2643486,-70.1275076,IQUIQUE,CHOQUE POSTERIOR/FRENTE,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,12:00:00,2018-05-31
59,-20.2625059,-70.130789,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,10:45:00,2018-05-31
60,-20.2289498,-70.1369628,IQUIQUE,COLISION FRONTAL,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,15:30:00,2018-05-31
61,-20.2367218,-70.1381753,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,08:34:00,2018-05-31
62,-20.2086726,-70.1445818,IQUIQUE,CHOQUE,PERDIDA CONTROL VEHICULO,CHOQUE,0,0,0,0,08:30:00,2018-06-16
63,-20.2298502,-70.1306589,IQUIQUE,ATROPELLO,ALCOHOL EN PEATON,ATROPELLO,0,1,0,0,21:40:00,2018-06-01
64,-20.2722984,-70.1285202,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,14:00:00,2018-06-01
65,-20.2307033,-70.1356692,IQUIQUE,CHOQUE LATERAL,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,16:00:00,2018-06-01
66,-20.22909,-70.1344354,IQUIQUE,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,ATROPELLO,0,0,0,1,17:55:00,2018-06-01
67,-20.22796,-70.1355547,IQUIQUE,CHOQUE FRONTAL,ALCOHOL EN CONDUCTOR,CHOQUE,0,0,0,0,22:00:00,2018-06-01
68,-20.268833,-70.1028797,ALTO HOSPICIO,COLISION FRONTAL,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,20:20:00,2018-01-06
69,-20.2187327,-70.1453448,IQUIQUE,COLISION LATERAL,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,03:50:00,2018-06-02
70,-20.2364664,-70.1360525,IQUIQUE,CHOQUE FRONTAL,CAUSAS NO DETERMINADAS,CHOQUE,0,0,0,0,04:30:00,2018-06-02
71,-20.263175,-70.122655,IQUIQUE,CHOQUE LATERAL,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,09:45:00,2018-06-02
72,-20.2301504,-70.129747,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,21:50:00,2018-01-07
73,-20.2699836,-70.1060096,ALTO HOSPICIO,COLISION,ALCOHOL EN CONDUCTOR,COLISION,0,0,0,0,10:35:00,2018-06-03
74,-20.2049745,-70.135743,IQUIQUE,CHOQUE FRENTE/POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,12:30:00,2018-06-02
75,-20.2382135,-70.1286667,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,19:00:00,2018-06-02
76,-20.2632877,-70.1282534,IQUIQUE,ATROPELLO,DESOBEDIENCIA A SEÑALIZACION,ATROPELLO,0,0,0,1,15:00:00,2018-12-21
77,-20.2145966,-70.1428339,IQUIQUE,COLISION LATERAL,CAUSAS NO DETERMINADAS,COLISION,0,0,0,0,23:00:00,2018-06-03
78,-20.2281557,-70.1353667,IQUIQUE,CHOQUE FRENTE/POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,05:30:00,2018-06-03
79,-20.2185709,-70.1348905,IQUIQUE,ATROPELLO,IMPRUDENCIA DEL PEATON,ATROPELLO,0,1,0,0,06:50:00,2018-06-03
80,-20.2495998,-70.106074,ALTO HOSPICIO,COLISION,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,19:20:00,2018-06-05
81,-20.2279008,-70.1354882,IQUIQUE,COLISION POR ALCANCE,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,1,16:20:00,2018-06-04
82,-20.2163207,-70.1391357,IQUIQUE,CHOQUE FRENTE/LADO,ALCOHOL EN CONDUCTOR,CHOQUE,0,0,0,0,20:40:00,2018-06-05
83,-20.2201278,-70.1361812,IQUIQUE,COLISION LATERAL,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,11:00:00,2018-06-06
84,-20.2206303,-70.146763,IQUIQUE,COLISION LATERAL,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,18:00:00,2018-06-06
85,-20.2126118,-70.1528194,IQUIQUE,CHOQUE LATERAL,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,19:00:00,2018-06-08
86,-20.2093046,-70.151505,IQUIQUE,CHOQUE FRENTE/POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,16:45:00,2018-06-08
87,-20.242826,-70.1402706,IQUIQUE,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,ATROPELLO,0,1,0,0,20:45:00,2018-06-09
88,-20.2297783,-70.1290144,IQUIQUE,CHOQUE FRENTE/POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,16:00:00,2018-06-09
89,-20.2080256,-70.1394431,IQUIQUE,CHOQUE FRONTAL,PERDIDA CONTROL VEHICULO,CHOQUE,0,0,0,1,20:15:00,2018-06-09
90,-20.2748303,-70.1266976,IQUIQUE,CHOQUE FRENTE/POSTERIOR,ALCOHOL EN CONDUCTOR,CHOQUE,0,0,0,1,04:30:00,2018-06-09
91,-20.2444412,-70.1282904,IQUIQUE,CHOQUE FRENTE/POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,08:00:00,2018-06-10
92,-20.2141015,-70.1471935,IQUIQUE,CHOQUE FRENTE/POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,20:39:00,2018-06-11
93,-20.2932645,-70.1021307,ALTO HOSPICIO,CHOQUE FRONTAL,ALCOHOL EN CONDUCTOR,CHOQUE,0,0,0,0,07:50:00,2018-06-06
94,-20.2361153,-70.1432496,IQUIQUE,CHOQUE FRENTE/POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,14:06:00,2018-06-11
95,-20.275428,-70.1057337,ALTO HOSPICIO,COLISION,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,1,19:30:00,2018-06-09
96,-20.2134898,-70.1310453,IQUIQUE,CHOQUE FRENTE/POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,1,14:40:00,2018-06-11
97,-20.277,-70.0911341,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,15:35:00,2018-06-12
98,-20.277224,-70.0805248,ALTO HOSPICIO,CHOQUE FRONTAL,ALCOHOL EN CONDUCTOR,CHOQUE,0,0,0,0,03:35:00,2018-06-12
99,-20.2276843,-70.1402925,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,1,21:20:00,2018-06-13
100,-20.231438,-70.1401785,IQUIQUE,ATROPELLO,IMPRUDENCIA DEL PEATON,ATROPELLO,0,0,1,0,18:50:00,2018-06-13
101,-20.2367763,-70.148507,IQUIQUE,CHOQUE POSTERIOR/LADO,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,09:45:00,2018-06-14
102,-20.230949,-70.142074,IQUIQUE,CHOQUE POSTERIOR/FRENTE,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,21:40:00,2018-06-14
103,-20.2297964,-70.1422898,IQUIQUE,COLISION,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,15:20:00,2018-06-14
104,-20.2325448,-70.1358294,IQUIQUE,COLISION,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,13:30:00,2018-06-14
105,-20.2930606,-70.1229349,IQUIQUE,CHOQUE FRONTAL,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,15:15:00,2018-06-14
106,-20.2139981,-70.1493062,IQUIQUE,ATROPELLO,IMPRUDENCIA DEL PEATON,ATROPELLO,0,0,0,1,07:30:00,2018-06-15
107,-20.2314378,-70.1355405,IQUIQUE,CHOQUE POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,21:30:00,2018-06-15
108,-20.2443662,-70.129305,IQUIQUE,COLISION,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,07:45:00,2018-06-15
109,-20.2274904,-70.1446933,IQUIQUE,CHOQUE LATERAL,DESOBEDIENCIA A SEÑALIZACION,CHOQUE,0,0,0,0,19:50:00,2018-06-15
110,-20.2145966,-70.1428339,IQUIQUE,COLISION LATERAL,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,19:00:00,2018-06-15
111,-20.269751,-70.129577,IQUIQUE,COLISION,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,1,0,1,19:10:00,2018-06-15
112,-20.2524488,-70.1272441,IQUIQUE,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,13:00:00,2018-06-16
113,-20.2441837,-70.1409449,IQUIQUE,CHOQUE POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,1,07:20:00,2018-06-16
114,-20.2364664,-70.1360525,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,1,14:00:00,2018-06-16
115,-20.2361951,-70.1508536,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,20:40:00,2018-06-16
116,-20.2375795,-70.1397646,IQUIQUE,COLISION LATERAL,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,19:25:00,2018-06-17
117,-20.2148322,-70.1389636,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,17:30:00,2018-01-08
118,-20.2186921,-70.1363192,IQUIQUE,CHOQUE LATERAL,CAUSAS NO DETERMINADAS,CHOQUE,0,0,0,0,09:00:00,2018-06-17
119,-20.2309547,-70.1320209,IQUIQUE,CHOQUE FRENTE/LADO,ALCOHOL EN CONDUCTOR,CHOQUE,0,0,1,0,01:45:00,2018-06-17
120,-20.2279008,-70.1354882,IQUIQUE,COLISION LATERAL,DEFICIENCIAS VIALES,COLISION,0,0,0,0,07:45:00,2018-06-18
121,-20.24159,-70.1430455,IQUIQUE,CHOQUE FRENTE/FRENTE,CAUSAS NO DETERMINADAS,CHOQUE,0,0,0,0,21:20:00,2018-01-08
122,-20.2127608,-70.1435822,IQUIQUE,CHOQUE FRENTE/POSTERIOR,ALCOHOL EN CONDUCTOR,CHOQUE,0,0,0,0,08:30:00,2018-06-18
123,-20.2516769,-70.1318018,IQUIQUE,COLISION LATERAL,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,18:15:00,2018-06-19
124,-20.231662,-70.1458447,IQUIQUE,COLISION POR ALCANCE,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,12:10:00,2018-06-19
125,-20.2147099,-70.1409628,IQUIQUE,CHOQUE FRENTE/LADO,ALCOHOL EN CONDUCTOR,CHOQUE,0,0,0,3,21:45:00,2018-06-19
126,-20.2205113,-70.149037,IQUIQUE,COLISION LATERAL,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,1,16:10:00,2018-06-20
127,-20.217696,-70.1452689,IQUIQUE,COLISION LATERAL,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,20:30:00,2018-06-20
128,-20.2221392,-70.1337018,IQUIQUE,COLISION POR ALCANCE,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,10:30:00,2018-06-21
129,-20.2158425,-70.1344699,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,07:55:00,2018-06-21
130,-20.2236676,-70.1418305,IQUIQUE,COLISION LATERAL,ALCOHOL EN CONDUCTOR,COLISION,0,0,0,2,11:00:00,2018-06-22
131,-20.2448842,-70.1266914,IQUIQUE,CHOQUE FRENTE/LADO,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,18:00:00,2018-06-23
132,-20.2868313,-70.1029781,ALTO HOSPICIO,COLISION,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,07:20:00,2018-06-13
133,-20.2607969,-70.1319862,IQUIQUE,CHOQUE FRONTAL,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,04:35:00,2018-12-27
134,-20.2096708,-70.1507889,IQUIQUE,COLISION LATERAL,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,1,17:40:00,2018-06-24
135,-20.2126716,-70.148467,IQUIQUE,CHOQUE POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,04:00:00,2018-06-25
136,-20.2664507,-70.1029387,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,20:40:00,2018-06-20
137,-20.2501879,-70.0988579,ALTO HOSPICIO,COLISION,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,08:30:00,2018-06-21
138,-20.2788239,-70.0901007,ALTO HOSPICIO,COLISION,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,15:10:00,2018-06-21
139,-20.2109195,-70.1459124,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,15:45:00,2018-06-25
140,-20.2172573,-70.1529207,IQUIQUE,ATROPELLO,CAUSAS NO DETERMINADAS,ATROPELLO,0,0,0,1,07:50:00,2018-06-26
141,-20.2407401,-70.1408296,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,13:15:00,2018-06-27
142,-20.2158887,-70.154444,IQUIQUE,CHOQUE FRENTE/LADO,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,15:14:00,2018-06-27
143,-20.2897057,-70.1064421,ALTO HOSPICIO,COLISION,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,18:00:00,2018-06-26
144,-20.2901059,-70.1042119,ALTO HOSPICIO,COLISION,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,21:00:00,2018-06-24
145,-20.2250238,-70.1352451,IQUIQUE,COLISION LATERAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,20:15:00,2018-06-28
146,-20.2897322,-70.1039479,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,ALCOHOL EN CONDUCTOR,CHOQUE,0,0,0,0,20:15:00,2018-06-24
147,-20.2627822,-70.1044301,ALTO HOSPICIO,COLISION,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,1,17:00:00,2018-06-27
148,-20.2737165,-70.1043006,ALTO HOSPICIO,CHOQUE FRONTAL,FALLAS MECANICAS,CHOQUE,0,0,0,1,21:00:00,2018-06-28
149,-20.2925751,-70.1048736,ALTO HOSPICIO,COLISION,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,1,0,0,22:50:00,2018-06-28
150,-20.2674345,-70.1023813,ALTO HOSPICIO,COLISION,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,1,20:00:00,2018-06-29
151,-20.2646179,-70.1005485,ALTO HOSPICIO,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,ATROPELLO,0,0,0,1,07:30:00,2018-06-30
152,-20.2908205,-70.0950785,ALTO HOSPICIO,COLISION,ALCOHOL EN CONDUCTOR,COLISION,0,0,0,0,14:55:00,2018-06-30
153,-20.2342003,-70.1460099,IQUIQUE,ATROPELLO,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,0,0,01:20:00,2018-07-02
154,-20.2173901,-70.1534089,IQUIQUE,CHOQUE POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,20:40:00,2018-06-28
155,-20.2080995,-70.1297933,IQUIQUE,CHOQUE POSTERIOR/FRENTE,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,17:20:00,2018-06-28
156,-20.2308516,-70.1328405,IQUIQUE,CHOQUE FRONTAL,PERDIDA CONTROL VEHICULO,CHOQUE,0,0,0,0,15:00:00,2018-06-28
157,-20.2251061,-70.1498238,IQUIQUE,CHOQUE FRENTE/LADO,DESOBEDIENCIA A SEÑALIZACION,CHOQUE,0,0,0,2,11:00:00,2018-06-29
158,-20.2227905,-70.1396443,IQUIQUE,COLISION LATERAL,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,17:45:00,2018-06-29
159,-20.2373067,-70.139562,IQUIQUE,CHOQUE POSTERIOR,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,19:00:00,2018-01-09
160,-20.2190716,-70.1393305,IQUIQUE,COLISION LATERAL,DESOBEDIENCIA A SEÑALIZACION,COLISION,0,0,0,0,16:40:00,2018-06-30
161,-20.2198545,-70.1383825,IQUIQUE,CHOQUE FRENTE/LADO,IMPRUDENCIA DEL CONDUCTOR,CHOQUE,0,0,0,0,06:20:00,2018-07-01
162,-20.2193218,-70.1347013,IQUIQUE,COLISION FRONTAL,IMPRUDENCIA DEL CONDUCTOR,COLISION,0,0,0,0,04:20:00,2018-07-02
