,Fecha,Hora,Comuna,Accidentes,Causas,Muertos,Graves,Menos Graves,Leves,Ilesos,Urbano/Rural,Latitud,Longitud
14,06/01/2010,19:15,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,1,0,0,1,URBANO,-20.2168749,-70.1494213
15,06/01/2010,23:10,IQUIQUE,Colisión,"Señalización, desobedecer señal ceda el paso",0,0,0,4,2,URBANO,-20.2307033,-70.1356692
16,07/01/2010,14:30,ALTO HOSPICIO,Atropello,"Señalización, desobedecer luz roja de semáforo",0,0,1,0,0,URBANO,-20.2665454,-70.1028868
17,07/01/2010,19:19,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.244478,-70.1410328
18,08/01/2010,16:30,IQUIQUE,Colisión,"Señalización, desobedecer luz roja de semáforo",0,0,0,1,2,URBANO,-20.2394749,-70.1403552
19,08/01/2010,22:36,IQUIQUE,Volcadura,"Señalización, desobedecer señal ceda el paso",0,1,0,1,0,URBANO,-20.2307033,-70.1356692
20,09/01/2010,09:55,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2297964,-70.1422898
21,09/01/2010,12:45,ALTO HOSPICIO,Choque,Hecho delictual,0,0,0,2,0,URBANO,-20.2686722,-70.1049169
22,09/01/2010,19:00,ALTO HOSPICIO,Atropello,"Vehiculo en retroceso, conducir",0,0,0,1,0,URBANO,-20.2743469,-70.0972785
23,10/01/2010,04:20,IQUIQUE,Colisión,Conducción en estado de ebriedad,0,0,2,2,0,URBANO,-20.218536,-70.1488892
24,11/01/2010,01:00,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2307033,-70.1356692
25,11/01/2010,10:30,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,1,1,URBANO,-20.2484469,-70.1381101
26,11/01/2010,12:10,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,1,1,URBANO,-20.2233179,-70.1505699
27,11/01/2010,20:30,ALTO HOSPICIO,Atropello,"Vehiculo en retroceso, conducir",0,0,0,1,1,URBANO,-20.2719484,-70.1029629
28,11/01/2010,21:40,ALTO HOSPICIO,Atropello,"Peatón, cruza calzada forma sorpresiva o descuidada",0,0,1,0,1,URBANO,-20.2800542,-70.1007563
29,12/01/2010,13:30,POZO ALMONTE,Volcadura,Perdida control vehículo,0,0,1,3,0,URBANO,-20.2570503,-69.7857064
30,12/01/2010,14:00,ALTO HOSPICIO,Atropello,"Peatón, cruza calzada forma sorpresiva o descuidada",0,0,1,1,0,URBANO,-20.2686722,-70.1049169
31,12/01/2010,18:50,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,3,RURAL,-20.2307033,-70.1356692
32,12/01/2010,20:20,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,-20.2333352,-70.1324357
33,13/01/2010,02:40,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2484469,-70.1381101
34,13/01/2010,23:50,ALTO HOSPICIO,Colisión,"Señalización, desobedecer señal pare",0,1,0,1,0,URBANO,-20.2686722,-70.1049169
35,14/01/2010,15:50,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,2,URBANO,-20.2247382,-70.139754
36,15/01/2010,12:25,ALTO HOSPICIO,Atropello,No respetar derecho preferente de paso a peatón,0,0,1,0,1,URBANO,-20.2686722,-70.1049169
37,15/01/2010,18:00,IQUIQUE,Choque,"Fallas mecánicas, dirección",0,0,0,2,3,URBANO,-20.2386682,-70.1296108
38,16/01/2010,08:00,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2208235,-70.1432206
39,16/01/2010,21:50,POZO ALMONTE,Colisión,Adelantamiento sobrepasando línea continua,0,0,0,0,2,URBANO,-20.2570503,-69.7857064
40,17/01/2010,01:35,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,1,0,1,URBANO,-20.23336,-70.14116
41,17/01/2010,15:45,ALTO HOSPICIO,Choque,Conducción no atento condiciones transito momento,0,0,2,0,2,URBANO,-20.2830792,-70.1016215
42,17/01/2010,16:35,POZO ALMONTE,Volcadura,Perdida control vehículo,0,0,0,3,0,URBANO,-20.2570503,-69.7857064
43,17/01/2010,17:45,POZO ALMONTE,Volcadura,Perdida control vehículo,0,0,0,3,1,URBANO,-20.2570503,-69.7857064
44,18/01/2010,14:30,POZO ALMONTE,Volcadura,Perdida control vehículo,0,2,0,2,0,URBANO,-20.2570503,-69.7857064
45,18/01/2010,17:00,ALTO HOSPICIO,Atropello,Causas no determinadas,0,0,0,2,0,URBANO,-20.2662507,-70.1025442
46,18/01/2010,17:35,IQUIQUE,Colisión,Perdida control vehículo,0,0,0,1,1,URBANO,-20.2300539,-70.1409672
47,19/01/2010,14:45,ALTO HOSPICIO,Colisión,"Señalización, desobedecer señal ceda el paso",0,0,0,1,0,URBANO,-20.2686722,-70.1049169
48,19/01/2010,16:50,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,1,2,URBANO,-20.2396655,-70.1345536
49,20/01/2010,05:45,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,3,2,URBANO,-20.2184392,-70.1503783
50,20/01/2010,23:10,IQUIQUE,Colisión,Perdida control vehículo,1,2,0,0,0,RURAL,-20.2307033,-70.1356692
51,21/01/2010,07:20,POZO ALMONTE,Volcadura,"Condiciones físicas deficientes (cansancio, sueño)",0,0,0,4,10,URBANO,-20.2570503,-69.7857064
52,21/01/2010,12:50,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,-20.2159485,-70.1486532
53,21/01/2010,14:00,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,3,URBANO,-20.2307033,-70.1356692
54,22/01/2010,13:50,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,-20.2243231,-70.1331496
55,22/01/2010,22:50,IQUIQUE,Atropello,"Peatón, cruza calzada forma sorpresiva o descuidada",0,0,0,1,1,URBANO,-20.2306665,-70.1371297
56,23/01/2010,12:00,IQUIQUE,Colisión,"Señalización, desobedecer señal ceda el paso",0,0,0,3,1,URBANO,-20.2653785,-70.126922
57,23/01/2010,23:40,COLCHANE,Volcadura,"Condiciones físicas deficientes (cansancio, sueño)",0,0,1,4,0,URBANO,-19.2761393,-68.6388049
58,24/01/2010,16:50,ALTO HOSPICIO,Colisión,Conducción contra sentido del transito,0,0,0,2,2,URBANO,-20.2663191,-70.0996867
60,24/01/2010,18:40,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2194645,-70.1403842
61,24/01/2010,23:00,POZO ALMONTE,Choque,"Velocidad, no reducir cruce de calles, cumbre, curva,etc.",1,0,0,0,0,URBANO,-20.2570503,-69.7857064
62,25/01/2010,08:30,POZO ALMONTE,Volcadura,Perdida control vehículo,0,0,0,1,0,URBANO,-20.2570503,-69.7857064
63,25/01/2010,10:50,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,2,URBANO,-20.244478,-70.1410328
64,26/01/2010,09:35,POZO ALMONTE,Volcadura,Perdida control vehículo,0,0,0,1,0,URBANO,-20.2570503,-69.7857064
65,26/01/2010,15:50,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2280658,-70.1358063
66,26/01/2010,19:15,POZO ALMONTE,Volcadura,Perdida control vehículo,0,0,0,1,1,URBANO,-20.2570503,-69.7857064
67,26/01/2010,22:45,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,1,1,0,URBANO,-20.2379949,-70.1442259
68,28/01/2010,01:15,IQUIQUE,Colisión,"Fallas mecánicas, eléctrico",0,0,0,2,0,URBANO,-20.2422792,-70.1413978
69,28/01/2010,02:15,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,1,2,URBANO,-20.2244134,-70.14698
71,28/01/2010,22:30,ALTO HOSPICIO,Atropello,"Peatón, ebriedad del",0,1,0,0,1,URBANO,-20.2686722,-70.1049169
72,29/01/2010,00:45,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,3,0,0,URBANO,-20.2396655,-70.1345536
73,29/01/2010,09:31,POZO ALMONTE,Otros,Causas no determinadas,0,0,0,0,2,URBANO,-20.264878,-69.7832647
76,30/01/2010,00:45,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,0,URBANO,-20.2111333,-70.1416166
77,30/01/2010,19:10,ALTO HOSPICIO,Volcadura,Perdida control vehículo,0,0,0,3,0,RURAL,-20.2686722,-70.1049169
78,30/01/2010,20:00,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,1,0,0,1,URBANO,-20.2414031,-70.1341858
79,31/01/2010,19:20,ALTO HOSPICIO,Choque,"Fallas mecánicas, neumáticos",0,0,0,3,0,RURAL,-20.2686722,-70.1049169
80,31/01/2010,21:10,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2307033,-70.1356692
81,01/02/2010,12:55,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2111906,-70.1384119
82,02/02/2010,13:26,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.230544,-70.129033
83,03/02/2010,16:10,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2374095,-70.1293885
84,03/02/2010,19:30,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,5,0,URBANO,-20.2542691,-70.1314071
85,03/02/2010,21:15,POZO ALMONTE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2570503,-69.7857064
86,04/02/2010,08:10,IQUIQUE,Colisión,Conducción bajo la influencia del alcohol,0,0,0,1,1,URBANO,-20.2213609,-70.1334644
87,04/02/2010,11:55,IQUIQUE,Choque,"Señalización, desobedecer señal ceda el paso",0,0,0,0,2,URBANO,-20.2213589,-70.1504909
88,05/02/2010,14:30,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2161654,-70.142953
89,05/02/2010,16:00,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2111333,-70.1416166
91,06/02/2010,21:50,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2473355,-70.1356494
94,07/02/2010,16:30,IQUIQUE,Choque,Perdida control vehículo,0,0,0,6,0,URBANO,-20.2307033,-70.1356692
95,08/02/2010,09:30,ALTO HOSPICIO,Colisión,Otras causas,0,1,0,0,1,RURAL,-20.2686722,-70.1049169
96,08/02/2010,13:15,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,2,1,URBANO,-20.2208235,-70.1432206
97,08/02/2010,15:05,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,1,2,2,URBANO,-20.2205893,-70.147605
98,08/02/2010,17:35,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,3,URBANO,-20.2265534,-70.1400001
99,09/02/2010,08:20,ALTO HOSPICIO,Choque,"Fallas mecánicas, neumáticos",0,0,0,1,0,RURAL,-20.2686722,-70.1049169
100,09/02/2010,08:45,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2210371,-70.1394955
101,09/02/2010,13:35,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2111333,-70.1416166
102,09/02/2010,20:30,IQUIQUE,Atropello,"Peatón, ebriedad del",0,0,0,1,1,URBANO,-20.2543166,-70.1260602
103,10/02/2010,15:15,IQUIQUE,Volcadura,Conducción no atento condiciones transito momento,0,1,0,2,0,URBANO,-20.2307033,-70.1356692
104,10/02/2010,16:40,IQUIQUE,Atropello,"Peatón, imprudencia del",0,0,0,1,1,URBANO,-20.2168749,-70.1494213
105,11/02/2010,10:20,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2396655,-70.1345536
106,11/02/2010,13:00,IQUIQUE,Colisión,Adelantamiento sin el espacio y tiempo suficiente,0,0,0,3,0,URBANO,-20.2373067,-70.139562
107,11/02/2010,14:40,POZO ALMONTE,Volcadura,Perdida control vehículo,0,0,0,1,0,RURAL,-20.2570503,-69.7857064
108,11/02/2010,22:20,ALTO HOSPICIO,Atropello,"Peatón, imprudencia del",0,0,0,1,1,URBANO,-20.2721787,-70.1023937
109,12/02/2010,00:13,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,1,2,URBANO,-20.2543166,-70.1260602
110,12/02/2010,14:15,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,2,1,URBANO,-20.2236,-70.1434542
111,13/02/2010,14:27,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2264987,-70.1411131
112,14/02/2010,05:50,IQUIQUE,Choque,Conducción sin mantener distancia razonable ni prudente,0,0,0,0,2,URBANO,-20.2484469,-70.1381101
113,14/02/2010,17:00,IQUIQUE,Colisión,Conducción contra sentido del transito,0,0,0,0,2,URBANO,-20.2339293,-70.1340386
114,15/02/2010,15:25,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,2,URBANO,-20.2455526,-70.1292691
115,15/02/2010,16:00,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2307033,-70.1356692
116,15/02/2010,20:15,POZO ALMONTE,Choque,Perdida control vehículo,0,0,0,1,0,RURAL,-20.2570503,-69.7857064
117,16/02/2010,06:30,POZO ALMONTE,Volcadura,Perdida control vehículo,0,0,0,0,1,RURAL,-20.2570503,-69.7857064
118,16/02/2010,10:00,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2307033,-70.1356692
119,16/02/2010,12:07,IQUIQUE,Colisión,Conducción sin mantener distancia razonable ni prudente,0,0,0,0,2,URBANO,-20.2478923,-70.1368759
120,17/02/2010,11:04,IQUIQUE,Colisión,Conducción sin mantener distancia razonable ni prudente,0,0,0,3,1,URBANO,-20.2543166,-70.1260602
121,17/02/2010,11:45,POZO ALMONTE,Colisión,Causas no determinadas,0,0,0,0,2,RURAL,-20.2570503,-69.7857064
122,17/02/2010,19:35,IQUIQUE,Colisión,No respetar derecho preferente de paso a peatón,0,0,0,2,3,URBANO,-20.255036,-70.1327603
123,18/02/2010,19:00,IQUIQUE,Atropello,"Peatón, cruza calzada forma sorpresiva o descuidada",0,1,0,0,1,URBANO,-20.2307033,-70.1356692
124,19/02/2010,01:00,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,1,1,URBANO,-20.2443662,-70.129305
125,19/02/2010,15:15,COLCHANE,Volcadura,Conducción en estado de ebriedad,0,1,2,2,1,RURAL,-19.2761393,-68.6388049
126,20/02/2010,11:00,ALTO HOSPICIO,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2686722,-70.1049169
127,20/02/2010,12:10,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,1,2,URBANO,-20.2307033,-70.1356692
128,21/02/2010,08:30,IQUIQUE,Volcadura,Perdida control vehículo,0,0,0,1,0,URBANO,-20.2307033,-70.1356692
129,22/02/2010,13:36,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,0,2,URBANO,-20.2307033,-70.1356692
131,23/02/2010,17:30,ALTO HOSPICIO,Colisión,Conducción no atento condiciones transito momento,0,0,0,2,0,URBANO,-20.2722788,-70.1097974
132,23/02/2010,18:50,IQUIQUE,Atropello,No respetar derecho preferente de paso a peatón,0,0,0,1,1,URBANO,-20.2049542,-70.1369169
133,24/02/2010,11:40,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,0,2,URBANO,-20.2195518,-70.1467191
134,24/02/2010,20:00,POZO ALMONTE,Volcadura,Velocidad no razonable ni prudente,0,1,0,1,0,RURAL,-20.2570503,-69.7857064
135,25/02/2010,11:20,IQUIQUE,Atropello,"Peatón, ebriedad del",0,0,0,1,1,URBANO,-20.226475,-70.1352834
136,25/02/2010,11:25,POZO ALMONTE,Volcadura,Conducción no atento condiciones transito momento,0,1,0,0,0,RURAL,-20.2570503,-69.7857064
137,25/02/2010,16:00,POZO ALMONTE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,-20.2601124,-69.7865351
138,25/02/2010,23:20,POZO ALMONTE,Atropello,"Peatón, cruza calzada forma sorpresiva o descuidada",0,0,1,0,0,URBANO,-20.2570503,-69.7857064
139,26/02/2010,12:40,ALTO HOSPICIO,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,1,1,URBANO,-20.2652492,-70.1055102
140,26/02/2010,22:31,IQUIQUE,Colisión,Conducción sin mantener distancia razonable ni prudente,0,0,0,0,2,URBANO,-20.2208923,-70.1421601
141,27/02/2010,06:30,POZO ALMONTE,Colisión,"Señalización, desobedecer señal ceda el paso",0,2,0,2,5,RURAL,-20.2570503,-69.7857064
142,27/02/2010,17:20,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,0,2,URBANO,-20.2249004,-70.1370717
143,28/02/2010,15:20,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,1,2,1,URBANO,-20.2176315,-70.1465983
144,28/02/2010,18:00,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,1,0,0,1,URBANO,-20.2266274,-70.1421023
145,01/03/2010,02:00,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,1,1,URBANO,-20.2198336,-70.1414293
146,01/03/2010,11:30,ALTO HOSPICIO,Atropello,Perdida control vehículo,0,0,0,1,1,URBANO,-20.2666108,-70.1006294
147,01/03/2010,13:20,IQUIQUE,Colisión,Conducción sin mantener distancia razonable ni prudente,0,0,0,0,2,URBANO,-20.2484469,-70.1381101
148,01/03/2010,15:30,ALTO HOSPICIO,Colisión,Causas no determinadas,0,0,0,1,1,URBANO,-20.2721122,-70.1000249
149,01/03/2010,16:00,ALTO HOSPICIO,Colisión,"Señalización, desobedecer señal pare",0,0,0,1,1,URBANO,-20.2847174,-70.1022289
150,02/03/2010,11:30,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.219616,-70.1454426
151,02/03/2010,12:15,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2254732,-70.1318466
152,03/03/2010,08:15,POZO ALMONTE,Colisión,Conducción no atento condiciones transito momento,0,0,0,2,2,RURAL,-20.2570503,-69.7857064
153,04/03/2010,15:45,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,1,1,URBANO,-20.2127018,-70.1471204
154,05/03/2010,06:45,POZO ALMONTE,Colisión,Velocidad no razonable ni prudente,0,0,0,1,2,RURAL,-20.2570503,-69.7857064
155,05/03/2010,08:00,IQUIQUE,Colisión,Conducción sin mantener distancia razonable ni prudente,0,0,0,1,2,URBANO,-20.2478923,-70.1368759
156,05/03/2010,17:45,IQUIQUE,Colisión,Conducción sin mantener distancia razonable ni prudente,0,0,0,1,1,URBANO,-20.2193218,-70.1347013
157,06/03/2010,14:15,IQUIQUE,Colisión,Conducción sin mantener distancia razonable ni prudente,0,0,0,0,2,URBANO,-20.244478,-70.1410328
158,06/03/2010,15:50,POZO ALMONTE,Volcadura,Perdida control vehículo,0,0,0,2,0,RURAL,-20.2570503,-69.7857064
159,06/03/2010,23:05,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2409532,-70.1449725
160,07/03/2010,18:30,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,2,0,URBANO,-20.2307033,-70.1356692
161,08/03/2010,08:10,IQUIQUE,Colisión,Conducción sin mantener distancia razonable ni prudente,0,0,0,0,2,URBANO,-20.2543166,-70.1260602
163,08/03/2010,21:00,IQUIQUE,Colisión,"Señalización, desobedecer luz roja de semáforo",0,0,0,4,1,URBANO,-20.2190716,-70.1393305
165,09/03/2010,07:28,ALTO HOSPICIO,Colisión,No respetar derecho preferente de paso a vehículo,0,1,0,3,0,URBANO,-20.2686722,-70.1049169
166,09/03/2010,09:30,ALTO HOSPICIO,Atropello,No respetar derecho preferente de paso a peatón,0,0,0,1,1,URBANO,-20.2556598,-70.1069637
167,09/03/2010,18:05,IQUIQUE,Choque,Conducción sin mantener distancia razonable ni prudente,0,0,0,1,1,URBANO,-20.2364664,-70.1360525
168,10/03/2010,08:35,POZO ALMONTE,Colisión,Causas no determinadas,0,0,1,0,2,RURAL,-20.2570503,-69.7857064
169,10/03/2010,20:40,IQUIQUE,Colisión,Perdida control vehículo,0,0,0,1,1,URBANO,-20.217696,-70.1452689
170,10/03/2010,23:27,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,2,0,URBANO,-20.2486089,-70.1382111
171,11/03/2010,16:25,IQUIQUE,Atropello,"Peatón, cruza calzada fuera paso peatones",0,1,0,0,1,URBANO,-20.2579013,-70.1242713
172,11/03/2010,17:20,HUARA,Volcadura,Perdida control vehículo,0,0,0,1,0,URBANO,-19.995924,-69.7712417
173,12/03/2010,02:30,HUARA,Volcadura,"Fallas mecánicas, frenos",0,0,0,0,3,RURAL,-19.995924,-69.7712417
174,12/03/2010,19:50,IQUIQUE,Atropello,"Peatón, cruza calzada fuera paso peatones",0,0,0,1,1,URBANO,-20.2402524,-70.133268
175,13/03/2010,01:00,IQUIQUE,Colisión,"Conducción, cambiar sorpresivamente pista circulación",0,0,0,0,2,URBANO,-20.2201814,-70.1349026
176,13/03/2010,13:40,ALTO HOSPICIO,Colisión,"Señalización, desobedecer señal pare",0,0,1,0,1,URBANO,-20.2847174,-70.1022289
177,13/03/2010,19:10,ALTO HOSPICIO,Atropello,Causas no determinadas,0,1,0,0,0,URBANO,-20.2833517,-70.1036934
178,13/03/2010,19:10,CAMINA,Choque,Otras causas,0,0,0,0,2,URBANO,-19.3110655,-69.4269996
179,13/03/2010,21:45,ALTO HOSPICIO,Choque,Perdida control vehículo,0,0,0,1,1,URBANO,-20.2686722,-70.1049169
180,14/03/2010,13:00,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2641213,-70.1252803
181,14/03/2010,14:00,ALTO HOSPICIO,Atropello,Causas no determinadas,0,0,1,0,0,URBANO,-20.2686722,-70.1049169
182,14/03/2010,16:50,ALTO HOSPICIO,Atropello,"Peatón, cruza calzada forma sorpresiva o descuidada",0,0,0,1,1,URBANO,-20.2658849,-70.1060772
183,14/03/2010,20:30,ALTO HOSPICIO,Colisión,"Conducción, cambiar sorpresivamente pista circulación",0,0,0,6,1,URBANO,-20.2714519,-70.0879295
184,14/03/2010,22:30,ALTO HOSPICIO,Colisión,"Señalización, desobedecer señal pare",0,0,0,1,1,URBANO,-20.2658849,-70.1060772
185,15/03/2010,08:30,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2307033,-70.1356692
186,15/03/2010,09:30,HUARA,Volcadura,"Fallas mecánicas, neumáticos",0,1,0,0,1,RURAL,-19.995924,-69.7712417
187,16/03/2010,10:10,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,2,0,URBANO,-20.2296924,-70.134465
188,16/03/2010,19:15,ALTO HOSPICIO,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,-20.2721122,-70.1000249
189,16/03/2010,22:05,ALTO HOSPICIO,Atropello,"Peatón, imprudencia del",0,0,1,0,1,URBANO,-20.2686722,-70.1049169
190,16/03/2010,22:30,HUARA,Volcadura,Perdida control vehículo,0,3,0,0,0,RURAL,-19.995924,-69.7712417
191,18/03/2010,07:20,ALTO HOSPICIO,Atropello,No respetar derecho preferente de paso a peatón,0,0,0,1,1,URBANO,-20.2736545,-70.0937502
192,18/03/2010,16:47,IQUIQUE,Choque,Conducción sin mantener distancia razonable ni prudente,0,0,0,0,2,URBANO,-20.2543166,-70.1260602
193,18/03/2010,20:35,ALTO HOSPICIO,Colisión,Conducción sin mantener distancia razonable ni prudente,0,0,0,2,0,RURAL,-20.2686722,-70.1049169
194,18/03/2010,22:15,ALTO HOSPICIO,Volcadura,Perdida control vehículo,0,0,0,1,1,RURAL,-20.2686722,-70.1049169
195,19/03/2010,05:45,POZO ALMONTE,Otros,Perdida control vehículo,0,1,0,0,0,URBANO,-20.2570503,-69.7857064
196,19/03/2010,17:00,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,2,1,URBANO,-20.244478,-70.1410328
198,20/03/2010,03:30,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,1,1,URBANO,-20.2307033,-70.1356692
199,20/03/2010,07:30,COLCHANE,Otros,Conducción bajo la influencia del alcohol,0,0,0,1,2,URBANO,-19.2761393,-68.6388049
200,21/03/2010,03:50,ALTO HOSPICIO,Atropello,Causas no determinadas,0,1,0,0,0,URBANO,-20.2686722,-70.1049169
201,21/03/2010,17:55,IQUIQUE,Choque,Conducción sin mantener distancia razonable ni prudente,0,0,0,2,2,URBANO,-20.2543166,-70.1260602
202,22/03/2010,13:10,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,-20.2167578,-70.1528862
